date,VOO,AMZN,GOOGL,RF
2026-02-20,630.1898193,210.1100006,314.3684692,0.0001
2026-02-23,623.8384399,205.2700043,310.8852234,0.0001
2026-02-24,628.3907471,208.5599976,310.2963867,0.0001
2026-02-25,633.6786499,210.6399994,312.292511,0.0001
2026-02-26,630.1202393,207.9199982,306.7832031,0.0001
2026-02-27,627.2277222,210,311.1547546,0.0001
2026-03-02,627.4663696,208.3899994,305.9248657,0.0001
2026-03-03,621.9398804,208.7299957,302.9906006,0.0001
2026-03-04,626.3729858,216.8200073,302.5414734,0.0001
2026-03-05,623.0233765,218.9400024,300.2958679,0.0001
2026-03-06,614.6939697,213.2100067,297.9403992,0.0001
2026-03-09,620.0315552,213.4900055,305.9804077,0.0001
2026-03-10,618.9580078,214.3300018,306.6596069,0.0001
2026-03-11,618.2722778,212.6499939,308.3175659,0.0001
2026-03-12,608.7997437,209.5299988,303.1738892,0.0001
2026-03-13,605.4104614,207.6699982,301.9054871,0.0001
2026-03-16,611.4735107,211.7400055,305.181427,0.0001
2026-03-17,613.1633301,215.1999969,310.53479,0.0001
2026-03-18,604.7046509,209.8699951,307.3087769,0.0001
2026-03-19,603.0845337,208.7599945,306.7494812,0.0001
2026-03-20,594.3277588,205.3699951,300.6270752,0.0001
2026-03-23,600.7785034,210.1399994,301.685791,0.0001
2026-03-24,598.7409668,207.2400055,290.0801697,0.0001
2026-03-25,602.0010986,211.7100067,290.5695496,0.0001
2026-03-26,591.3259888,207.5399933,280.5719604,0.0001
2026-03-27,581.267334,199.3399963,274.0001221,0.0001
2026-03-30,579.2431641,200.9499969,273.1611633,0.0001
2026-03-31,595.8149414,208.2700043,287.2037354,0.0001
2026-04-01,600.5511475,210.5700073,297.0215759,0.0001
2026-04-02,601.2391357,209.7700043,295.4035645,0.0001
2026-04-06,603.9113159,212.7899933,299.6183167,0.0001
2026-04-07,604.2802734,213.7700043,305.081543,0.0001
2026-04-08,619.5358887,221.25,316.9268799,0.0001
2026-04-09,623.2052002,233.6499939,318.0953979,0.0001
2026-04-10,622.786377,238.3800049,316.8469543,0.0001
2026-04-13,628.8886108,239.8899994,320.9119263,0.0001
2026-04-14,636.49646,249.0200043,332.4975586,0.0001
2026-04-15,641.581665,248.5,336.7023315,0.0001
2026-04-16,642.9875488,249.6999969,335.6036682,0.0001
2026-04-17,650.8845825,250.5599976,341.2566833,0.0001
2026-04-20,649.6481323,248.2799988,337.0019836,0.0001
2026-04-21,645.3706055,249.9100037,331.8783264,0.0001
2026-04-22,652.0013428,255.3600006,338.8996277,0.0001
2026-04-23,649.3689575,255.0800018,338.4701538,0.0001
2026-04-24,654.5139771,263.9899902,343.9732971,0.0001
2026-04-27,655.5908813,261.1199951,349.9059448,0.0001
2026-04-28,652.3602905,259.7000122,349.3466492,0.0001
2026-04-29,652.340332,263.0400085,349.5064697,0.0001
2026-04-30,658.6619263,265.0599976,384.3232422,0.0001
2026-05-01,660.5963135,268.2600098,385.2121887,0.0002
2026-05-04,658.2032471,272.0499878,382.775177,0.0002
2026-05-05,663.3682251,273.5499878,387.948761,0.0002
2026-05-06,672.7009888,274.9899902,397.546875,0.0002
2026-05-07,670.5871582,271.1700134,397.4969177,0.0002
2026-05-08,676.071167,272.6799927,400.3034363,0.0002
2026-05-11,677.546936,268.9899902,388.1585083,0.0002
2026-05-12,676.6993408,265.8200073,386.8701172,0.0002
2026-05-13,680.4285278,270.1300049,402.1211853,0.0002
2026-05-14,685.7330322,267.2200012,400.5731201,0.0002
